Loci,Annotation,EC #,Protein abbreviation
MA0171,Phenylalanyl-tRNA synthetase subunit alpha (EC 6.1.1.20),6.1.1.20,pheS
MA0172,Tryptophanyl-tRNA synthetase (EC 6.1.1.2),6.1.1.2,trpS
MA0194,Alanyl-tRNA synthetase (alaS) (EC 6.1.1.7),6.1.1.7,alaS
MA0201,Tartrate dehydrogenase/decarboxylase (EC 1.1.1.93) (EC 4.1.1.73) (EC 1.1.1.83) | 3-isopropylmalate dehydrogenase,1.1.1.85,leuB
MA0202,3-Isopropylmalate dehydratase small subunit (3-isopropylmalate isomerase small subunit) and homoaconitase small subunit dual specificity,4.2.1.33 | 4.2.1.35,leuD
MA0206,5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5'- monophosphate synthetase (purP) (EC 6.3.4.-),6.3.4.23,purP
MA0208,,,
MA0216,Archaeal S-adenosylmethionine synthetase (EC 2.5.1.6) (Methionine adenosyltransferase) (AdoMet synthetase),2.5.1.6,mat
MA0217,ATP phosphoribosyltransferase (hisG) (EC 2.4.2.17),2.4.2.17,hisG
MA0218,1-(5-phosphoribosyl)-5-((5- phosphoribosylamino)methylideneami no) imidazole-4-carboxamide isomerase (hisA) (EC 5.3.1.16),5.3.1.16,hisA
MA0219,Imidazoleglycerol-phosphate dehydratase (hisB) (EC 4.2.1.19),4.2.1.19,hisB
MA0236,,,
MA0239,acetyltransferase (GNAT) family protein,2.3.1.1,argA
MA0241,Phosphoglucomutase/Phosphomanno mutase,5.4.2.8 | 5.4.2.2,pmm-pgm
MA0249,citrate (si)-synthase,2.3.3.1,CS
MA0250,aconitate hydratase,4.2.1.3,ACO
MA0255,4-methyl-5-(beta-hydroxyethyl)thiazole monophosphate synthesis protein ThiF,Unassigned,MOCS3
MA0261,Thiamine biosynthesis protein thiC (thiC),4.1.99.17,thiC
MA0263,L-fuculose phosphate aldolase,4.1.2.17,fucA
MA0264,CDP-alcohol phosphatidyltransferase,2.7.8.5,Unassigned
MA0269,Tetrahydromethanopterin S- methyltransferase subunit H (mtrH) (EC 2.1.1.86),2.1.1.86,mtrH
MA0270,Tetrahydromethanopterin S- methyltransferase subunit G (EC 2.1.1.86),2.1.1.86,mtrG
MA0271,Tetrahydromethanopterin S- methyltransferase subunit F (EC 2.1.1.86),2.1.1.86,mtrF
MA0272,Tetrahydromethanopterin S- methyltransferase subunit A (mtrA) (EC 2.1.1.86),2.1.1.86,mtrA
MA0273,tetrahydromethanopterin S-methyltransferase subunit B,2.1.1.86,mtrB
MA0274,Tetrahydromethanopterin S- methyltransferase subunit C (mtrC) (EC 2.1.1.86),2.1.1.86,mtrC
MA0275,Tetrahydromethanopterin S- methyltransferase subunit D (mtrD) (EC 2.1.1.86),2.1.1.86,mtrD
MA0276,Tetrahydromethanopterin S- methyltransferase subunit E (mtrE) (EC 2.1.1.86),2.1.1.86,mtrE
MA0279,sodium/solute symporter,,
MA0280,molybdate ABC transporter periplasmic substrate-binding protein,Unassigned,wtpA
MA0281,sulfate/molybdate ABC transporter permease,Unassigned,wtpB
MA0282,sulfate/molybdate ABC transporter ATP-binding protein,3.6.3.- | 3.6.3.55,wtpC
MA0298,,,
MA0299,,,
MA0300,,,
MA0301,,,
MA0302,,,
MA0304,formylmethanofuran dehydrogenase subunit E,1.2.99.5,fmdE
MA0305,formylmethanofuran dehydrogenase subunit F,Unassigned,fmdF
MA0306,Molybdenum formylmethanofuran dehydrogenase subunit A (fmdA) (EC 1.2.99.5),1.2.99.5,fmdA
MA0307,formylmethanofuran dehydrogenase subunit C,1.2.99.5,fmdC
MA0308,Molybdenum formylmethanofuran dehydrogenase subunit D (fmdD) (EC 1.2.99.5),1.2.99.5,fmdD
MA0309,Molybdenum formylmethanofuran dehydrogenase subunit B (fmdB) (EC 1.2.99.5),1.2.99.5,fmdB
MA0316,phosphoribosylglycinamide formyltransferase,2.1.2.2,purN
MA0322,nicotinate-nucleotide pyrophosphorylase,2.4.2.19,nadC
MA0323,molybdenum ABC transporter ATP-binding protein,3.6.3.29,modC
MA0324,molybdenum ABC transporter permease,Unassigned,modB
MA0325,molybdenum ABC transporter substrate-binding protein,Unassigned,modA
MA0339,,,
MA0346,protoporphyrin IX magnesium chelatase,6.6.1.2,cobN
MA0348,,,
MA0372,uridylate kinase,2.7.4.22,pyrH
MA0381,formylmethanofuran dehydrogenase subunit E,1.2.99.5,fwdE
MA0383,,,
MA0384,cobaltochelatase subunit CobN,6.6.1.2,cobN
MA0385,magnesium/cobalt chelatase-domain containing protein,6.6.1.2,cobN
MA0386,,,
MA0393,cobalt ABC transporter permease,Unassigned,cbiQ
MA0394,cobalt ABC transporter ATP-binding protein,Unassigned,cbiO
MA0403,zinc-binding alcohol dehydrogenase,1.1.1.2,AKR1A1
MA0409,4-carboxymuconolactone decarboxylase,4.1.1.44,pcaC
MA0417,formaldehyde dehydrogenase,1.2.1.46,fdh
MA0422,,,
MA0428,,,
MA0430,aspartate-semialdehyde dehydrogenase,1.2.1.11,asd
MA0439,"2-amino-3,7-dideoxy-D-threo-hept-6- ulosonate synthase CL2 | fructose-bisphosphate aldolase",4.1.2.13 | 2.2.1.10,Unassigned
MA0440,Deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23),3.6.1.23,dcd
MA0451,beta-phosphoglucomutase,5.4.2.6,pgmB
MA0455,methanol corrinoid protein (mtaB) | methanol-5-hydroxybenzimidazolylcobamide co-methyltransferase,2.1.1.90,mtaB1
MA0456,methanol corrinoid protein (mtaC) | methanol-5-hydroxybenzimidazolylcobamide co-methyltransferase,Unassigned,mtaC1
MA0520,cobalt-precorrin-6Y C(5)-methyltransferase,2.1.1.289,cbiE
MA0521,cobalt-precorrin-6A synthase,2.1.1.195,cbiD
MA0525,,,
MA0526,,,
MA0527,dimethylamine corrinoid protein (mtbC),Unassigned,mtbC
MA0528,Trimethylamine methyltransferase (mttB) (EC 2.1.1.-),2.1.1.250,mttB
MA0529,trimethylamine corrinoid protein,Unassigned,mttC
MA0530,DUF6-domain membrane protein,,
MA0532,dimethylamine methyltransferase,2.1.1.249,mtbB
MA0534,Lysyl-tRNA synthetase (EC 6.1.1.6),6.1.1.6,lysK
MA0541,Imidazoleglycerol-phosphate synthase subunit hisF (cyclase subunit) (EC 4.1.3.-),4.1.3.-,hisF
MA0547,winged helix-turn-helix domain-containing protein/riboflavin kinase,2.7.1.161,rfk
MA0548,"3,4-dihydroxy-2-butanone 4-phosphate synthase",4.1.99.12,ribB
MA0549,,,
MA0550,Chorismate synthase (aroC) (EC 4.2.3.5),4.2.3.5,aroC
MA0576,uroporphyrin-III C-methyltransferase,1.3.1.76 | 4.99.1.4,cysG
MA0577,glutamyl-tRNA reductase,1.2.1.70,hemA
MA0578,Delta-aminolevulinic acid dehydratase (Porphobilinogen synthase) (ALAD) (ALADH) (hemB) (EC 4.2.1.24),4.2.1.24,hemB
MA0581,"Glutamate-1-semialdehyde 2,1- aminomutase (hemL) (EC 5.4.3.8)",5.4.3.8,hemL
MA0582,porphobilinogen deaminase,2.5.1.61,hemC
MA0583,"Dihydroorotate dehydrogenase, catalytic subunit (Dihydroorotate oxidase) (pyrD) (EC 1.3.3.1)",1.3.1.14,pyrD
MA0584,dihydroorotate dehydrogenase electron transfer subunit,Unassigned,pyrDII
MA0587,Glutamyl-tRNA synthetase (EC 6.1.1.17),6.1.1.17,gltX
MA0591,,,
MA0592,D-3-phosphoglycerate dehydrogenase (serA) (PGDH) (EC 1.1.1.95),1.1.1.95,serA
MA0594,indolepyruvate decarboxylase,4.1.1.74,ipdC
MA0601,,,
MA0602,mevalonate kinase,2.7.1.36,mvk
MA0603,amino acid kinase,2.7.4.26,ipk
MA0604,Isopentenyl-diphosphate delta- isomerase (EC 5.3.3.2),5.3.3.2,idi
MA0606,Bifunctional short chain isoprenyl diphosphate synthase (Includes: Farnesyl pyrophosphate synthetase (EC 2.5.1.1) (FPP synthetase) (Dimethylallyltranstransferase); Geranyltranstransferase (EC 2.5.1.10)) (idsA),2.5.1.1 | 2.5.1.10 | 2.5.1.29,idsA
MA0608,Pyruvate phosphate dikinase EC 2.7.9.1,2.7.9.1,ppdK
MA0614,3-hydroxyisobutyrate dehydrogenase,1.1.1.31,Unassigned
MA0636,aspartate aminotransferase,2.6.1.1,aspC
MA0642,,,
MA0658,,,
MA0659,,,
MA0660,,,
MA0661,,,
MA0662,,,
MA0663,Electron transport complex protein rnfA (Nitrogen fixation protein rnfA ),,
MA0664,electron transport complex rnfB-like protein (Nitrogen fixation protein rnfB),,
MA0665,,,
MA0671,formylmethanofuran dehydrogenase subunit G,Unassigned,fwdG
MA0674,pyruvate carboxylase subunit B (EC 6.4.1.1) (pycB),6.4.1.1,pycB
MA0675,pyruvate carboxylase subunit A (EC 6.4.1.1) (pycA),6.4.1.1,pycA
MA0676,biotin operon repressor/biotin-pyruvate carboxylase ligase,6.3.4.15,bpl
MA0687,heterodisulfide reductase subunit E,1.8.98.1,hdrE
MA0688,CoB-CoM heterodisulfide reductase subunit D (EC 1.8.98.1) (hdrD),1.8.98.1,hdrD
MA0697,,,
MA0698,,,
MA0705,aldehyde dehydrogenase,1.2.1.16 | 1.2.1.79 | 1.2.1.20,gabD
MA0713,,,
MA0714,LPPG:FO 2-phospho-L-lactate transferase,2.7.8.28,cofD
MA0717,adenine phosphoribosyltransferase,2.4.2.7,hpt
MA0726,Orn/DAP/Arg decarboxylase family / TabA-like | diaminopimelate decarboxylase,4.1.1.20,lysA
MA0749,cysteinyl-tRNA synthetase,6.1.1.16,cysS
MA0760,lysyl-tRNA synthetase,6.1.1.6,lysS
MA0779,methylcobalamin:coenzyme M methyltransferase,Unassigned,cmtM
MA0792,arginine deiminase,3.5.3.6,arcA
MA0798,,,
MA0815,Tyrosyl-tRNA synthetase (EC 6.1.1.1),6.1.1.1,tyrS
MA0819,malate dehydrogenase,1.1.1.37,mdh
MA0821,hypothetical protein,5.3.1.9,pgi1
MA0832,formylmethanofuran dehydrogenase subunit C,1.2.99.5,fwdC
MA0833,formylmethanofuran dehydrogenase subunit A,1.2.99.5,fwdA
MA0834,formylmethanofuran dehydrogenase subunit B,1.2.99.5,fwdB
MA0835,formylmethanofuran dehydrogenase subunit D,1.2.99.5,fwuD
MA0844,,,
MA0847,methyltransferase,4.1.1.37,mtbA
MA0849,putative methylamine methyltransferase corrinoid activation protein,,
MA0859,,,
MA0869,ABC transporter permease,Unassigned,cbiQ
MA0872,cobaltochelatase subunit CobN,6.6.1.2,cobN
MA0878,,,
MA0879,,,
MA0880,,,
MA0881,,,
MA0882,cobaltochelatase subunit CobN,6.6.1.2,cobN
MA0883,,,
MA0887,"Phosphate import ABC transporter, phosphate binding protein (pstS)",Unassigned,pstS
MA0888,Phosphate import ABC transporter permease protein (pstC),Unassigned,pstC
MA0889,Phosphate import ABC transporter permease protein (pstA),Unassigned,pstA
MA0890,CBS (Cystathionine-beta-synthase) and DUF293 domains-containing protein | phosphate ABC transporter ATP-binding protein,3.6.3.27,pstB
MA0892,dihydroorotase,3.5.2.3,pyrC
MA0905,,,
MA0908,Phosphoribosyl-AMP cyclohydrolase (hisI) (EC 3.5.4.19),3.5.4.19,hisI
MA0913,(EC 2.4.2.-) | imidazole glycerol phosphate synthase subunit HisH,2.4.2.-,hisH
MA0919,orotate phosphoribosyltransferase-like protein,2.4.2.10,pyrE
MA0925,,,
MA0929,DUF6-domain membrane protein,,
MA0931,trimethylamine corrinoid protein,Unassigned,mttC
MA0932,Trimethylamine methyltransferase (mttB) (EC 2.1.1.-),2.1.1.250,mttB
MA0933,dimethylamine methyltransferase,2.1.1.249,mtbB
MA0934,dimethylamine corrinoid protein (mtbC),Unassigned,mtbC
MA0938,,,
MA0939,cobalamin (5-phosphate) synthase,2.7.8.26,cobS
MA0940,alpha-ribazole-phosphate phosphatase (cobZ) (EC 3.1.3.73),,
MA0941,cobalamin biosynthesis protein,6.3.1.10,cobD
MA0942,histidinol-phosphate aminotransferase,2.6.1.9,hisC
MA0943,histidyl-tRNA synthetase,6.1.1.21,hisS
MA0950,ferric enterobactin transport ATP-binding protein,3.6.3.34,ABC.FEV.A
MA0951,Iron complex/Vitamin B12 ABC transporter permease protein | hemin permease,Unassigned,hemU
MA0952,iron transport periplasmic binding protein,Unassigned,ABC.FEV.S
MA0955,nicotinate-nucleotide pyrophosphorylase,2.4.2.19,nadC
MA0956,6-pyruvoyl tetrahydrobiopterin synthase,4.2.3.12 | 4.1.2.50,ptpS
MA0958,L-aspartate dehydrogenase,1.4.1.21,nadX
MA0959,quinolinate synthetase,2.5.1.72,nadA
MA0961,prenyltransferase,2.5.1.42,ubiA
MA0962,S-adenosylmethionine synthetase,2.5.1.6,mat
MA0969,Orotidine 5'-phosphate decarboxylase (OMP decarboxylase) (PyrF) (EC 4.1.1.23),4.1.1.23,pyrF
MA0972,catalase/peroxidase,1.11.1.21,katG
MA0990,,,
MA1001,fumarate hydratase,4.2.1.2,fumC
MA1011,Acetyl-CoA decarbonylase/synthase complex subunit gamma (EC 2.1.1.-),2.1.1.245,cdhE
MA1012,Acetyl-CoA decarbonylase/synthase complex subunit delta,2.1.1.245,cdhD
MA1013,"carbon monoxide dehydrogenase/acetyl-CoA synthase complex, nickel-inserting subunit",,
MA1014,Acetyl-CoA decarbonylase/synthase complex subunit beta (EC 2.3.1.-),2.3.1.-,cdhC
MA1015,acetyl-CoA decarbonylase/synthase complex subunit epsilon,Unassigned,cdhB
MA1016,Acetyl-CoA decarbonylase/synthase complex subunit alpha 2 (EC 1.2.99.2),1.2.7.4,cdhA
MA1018,glyceraldehyde-3-phosphate dehydrogenase,1.2.1.59,gap
MA1019,glutathione reductase (NADPH),1.8.1.7,GSR
MA1022,"Protein containing N-terminal Pyruvate flavodoxin/ferredoxin oxidoreductase region, C-terminal TPP-binding region and ferredoxin domain",,
MA1023,,,
MA1030,NAD synthetase,6.3.1.5,nadE
MA1096,adenylate kinase,2.7.4.3,adk
MA1104,cytidylate kinase,2.7.4.14,cmk
MA1105,,,
MA1117,,,
MA1120,"ABC transporter, ATPase subunit",,
MA1128,ABC transporter substrate-binding protein,Unassigned,ABC.FEV.S
MA1131,iron ABC transporter permease,Unassigned,ABC.FEV.P
MA1132,iron ABC transporter ATP-binding protein,3.6.3.34,ABC.FEV.A
MA1151,,,
MA1152,"Fructose 1-6-bisphosphatase | fructose 1,6-bisphosphatase II",3.1.3.11,glpX
MA1167,Ribose-phosphate pyrophosphokinase (RPPK) (Phosphoribosyl pyrophosphate synthetase) (PRPP synthetase) (EC 2.7.6.1),2.7.6.1,prs
MA1173,"GDP-mannose 4,6-dehydratase",4.2.1.47,gmd
MA1174,"GDP-mannose 4,6-dehydratase",4.2.1.47,gmd
MA1185,UDP-galactose-4-epimerase | UDP-glucose 4-epimerase,5.1.3.2,galE
MA1190,,,
MA1198,iron ABC transporter ATP-binding protein,3.6.3.34,ABC.FEV.A
MA1199,iron ABC transporter permease,Unassigned,ABC.FEV.P
MA1205,nitrogenase reductase,1.18.6.1,nifH
MA1208,nitrogenase subunit K,1.18.6.1,anfK
MA1209,nitrogenase subunit delta,1.18.6.1,anfG
MA1210,nitrogenase subunit D,1.18.6.1,anfD
MA1211,,,
MA1212,,,
MA1213,nitrogenase reductase,1.18.6.1,nifH
MA1214,,,
MA1215,,,
MA1216,nitrogenase subunit alpha,1.18.6.1,vnfD
MA1217,nitrogenase subunit delta,1.18.6.1,vnfG
MA1218,nitrogenase subunit beta,1.18.6.1,vnfK
MA1219,,,
MA1220,,,
MA1223,3-Isopropylmalate dehydratase small subunit (3-isopropylmalate isomerase small subunit) and homoaconitase small subunit - dual specificity,4.2.1.114,leuC
MA1225,homocitrate synthase,2.3.3.14,nifV
MA1226,homocitrate synthase,2.3.3.14,nifV
MA1230,iron(III) ABC transporter substrate-binding protein,Unassigned,ABC.FEV.S
MA1231,iron(III) ABC transporter substrate-binding protein,Unassigned,ABC.FEV.S
MA1232,iron(III) ABC transporter substrate-binding protein,Unassigned,ABC.FEV.S
MA1233,iron(III) ABC transporter ATP-binding protein,3.6.3.34,ABC.FEV.A
MA1234,iron(III) ABC transporter permease,Unassigned,ABC.FEV.P
MA1235,molybdate ABC transporter ATP-binding protein,3.6.3.29,modC
MA1236,molybdate ABC transporter permease,Unassigned,modB
MA1237,"molybdenum ABC transporter, molybdate-binding protein (modA)",Unassigned,modA
MA1241,Molybdenum formylmethanofuran dehydrogenase subunit B (fmdB) (EC 1.2.99.5),1.2.99.5,fmdB
MA1244,,,
MA1245,,,
MA1246,,,
MA1247,,,
MA1249,,,
MA1250,,,
MA1275,Adenosylhomocysteinase (ahcY) (EC 3.3.1.1) | S-adenosyl-L-homocysteine hydrolase,3.3.1.1,ahcY2
MA1278,hypothetical protein,6.3.2.36,Unassigned
MA1280,bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase,4.1.1.36 | 6.3.2.5,dfp
MA1309,"carbon-monoxide dehydrogenase, catalytic subunit",1.2.99.2 | 1.2.7.4,cooS
MA1316,,,
MA1317,glutamyl-tRNA(Gln) amidotransferase subunit D,6.3.5.7,ansA
MA1318,Argininosuccinate lyase (EC 4.3.2.1) (Arginosuccinase),4.3.2.1,argH
MA1334,,,
MA1342,,,
MA1354,acetolactate synthase,2.2.1.6,Unassigned
MA1355,aldehyde dehydrogenase,1.2.1.16 | 1.2.1.79 | 1.2.1.20,gabD
MA1363,HAD-superfamily hydrolase,,
MA1368,thioredoxin reductase,1.8.1.9,trxB
MA1370,diphthine synthase (EC 2.1.1.98),,
MA1373,PfkB family carbohydrate kinase,2.7.1.15,rbsK
MA1376,Phosphoribosylaminoimidazole carboxylase catalytic subunit (AIR carboxylase) (purE) (EC 4.1.1.21),5.4.99.18,purE
MA1377,chorismate mutase,5.4.99.5,pheA1
MA1378,shikimate kinase,2.7.1.71,aroL
MA1384,6-phospho-3-hexuloisomerase,5.3.1.27,hxlB
MA1385,Aspartate aminotransferase (EC 2.6.1.1),2.6.1.1,aspB
MA1392,phosphoribosyl-ATP pyrophosphatase,3.6.1.31,hisE
MA1393,Homoaconitase large subunit (EC 4.2.1.36) (homoaconitate hydratase) (hacA) | 3-isopropylmalate dehydratase large subunit,4.2.1.33 | 4.2.1.35,leuC
MA1409,5'-methylthioadenosine phosphorylase,2.4.2.28,Unassigned
MA1417,,,
MA1418,hypothetical protein,3.6.3.-,ecfA1
MA1419,cobalt transport protein,Unassigned,ecfT
MA1431,,,
MA1436,,,
MA1437,,,
MA1439,NAD+ pyrophosphatase,3.6.1.22,Unassigned
MA1466,thiazole biosynthesis protein,Unassigned,thiI
MA1481,,,
MA1483,,,
MA1484,Oxidoreductase with FAD binding domain | geranylgeranyl reductase,1.3.1.101 | 1.3.99.34,GGR
MA1488,hypothetical protein,2.7.7.68,cofC
MA1489,FO synthase subunit 2,2.5.1.77,cofG
MA1490,FO synthase subunit 2,2.5.1.77,cofG
MA1491,FO synthase subunit 1,2.5.1.77,cofG
MA1494,,,
MA1495,F(420)H(2) dehydrogenase subunit FpoA,1.6.5.3,fpoA
MA1496,F(420)H(2) dehydrogenase subunit FpoB,1.6.5.3,fpoB
MA1497,F(420)H(2) dehydrogenase subunit C,1.6.5.3,fpoC
MA1498,F(420)H(2) dehydrogenase subunit FpoD,1.6.5.3,fpoD
MA1499,F(420)H(2) dehydrogenase subunit FpoH,1.6.5.3,fpoH
MA1500,F(420)H(2) dehydrogenase subunit FpoI,1.6.5.3,fpoI
MA1501,NADH dehydrogenase subunit J,1.6.5.3,fpoJ
MA1502,F(420)H(2) dehydrogenase subunit FpoJ,1.6.5.3,fpoJ
MA1503,F(420)H(2) dehydrogenase subunit FpoK,1.6.5.3,fpoK
MA1504,F(420)H(2) dehydrogenase subunit FpoL,1.6.5.3,fpoL
MA1505,F(420)H(2) dehydrogenase subunit FpoM,1.6.5.3,fpoM
MA1506,F(420)H(2) dehydrogenase subunit FpoN,1.6.5.3,fpoN
MA1507,,,
MA1509,,,
MA1524,Nucleoside diphosphate kinase (EC 2.7.4.6),2.7.4.6,ndk
MA1566,glutamine amidotransferase subunit PdxT,4.3.3.6,pyrOB
MA1567,"Pyridoxal 5'-phosphate (Vitamin B6) synthase, lyase subunit pdxS",4.3.3.6,pyrOA
MA1569,,,
MA1574,,,
MA1605,membrane alanine aminopeptidase,3.4.11.2,pepN
MA1610,threonine synthase,4.2.3.1,thrC
MA1611,Leucyl-tRNA synthetase (EC 6.1.1.4),6.1.1.4,leuS
MA1615,methanol-specific methylcobalamin:CoM methyltransferase (mtaA),Unassigned,cmtM
MA1616,methanol-5- hydroxybenzimidazolylcobamide co- methyltransferase (mtaB3) (EC 2.1.1.90),2.1.1.90,mtaB3
MA1617,"corrinoid-containing methyl-accepting protein (mtaC3) | methanol-5-hydroxybenzimidazolylcobamide co-methyltransferase, isozyme 3",Unassigned,mtaC3
MA1623,hypothetical protein,3.5.1.90,cbiZ
MA1631,,,
MA1632,,,
MA1633,nitrogenase (iron protein),1.18.6.1,nifH
MA1636,,,
MA1652,dihydrolipoamide dehydrogenase,1.8.1.4,DLD
MA1665,ribonucleotide reductase,1.17.4.1,nrd
MA1672,Enolase (2-phosphoglycerate dehydratase) (EC 4.2.1.11) | phosphopyruvate hydratase,4.2.1.11,eno
MA1678,Plasma-membrane proton-efflux P- type ATPase (EC 3.6.3.6),3.6.3.6,Unassigned
MA1683,ribose-5-phosphate isomerase A,5.3.1.6,rpiA
MA1684,Aspartyl-tRNA synthetase (EC 6.1.1.12),6.1.1.12,aspC
MA1687,,,
MA1710,"methenyltetrahydromethanopterin cyclohydrolase (mch) (EC 3.5.4.27) | N(5),N(10)-methenyltetrahydromethanopterin cyclohydrolase",3.5.4.27,mch
MA1712,Aminotransferase class I/II (EC 2.6.1.-) | LL-diaminopimelate aminotransferase,2.6.1.83,Unassigned
MA1714,aldehyde ferredoxin oxidoreductase,1.2.7.5,aor
MA1721,,,
MA1725,Phenylacetate-coenzyme A ligase (EC 6.2.1.30),6.2.1.30,paaK
MA1726,Indolepyruvate ferredoxin oxidoreductase subunit beta (iorB),,
MA1727,"Protein containing N-terminal Pyruvate flavodoxin/ferredoxin oxidoreductase region, C-terminal TPP-binding region and ferredoxin domain",,
MA1735,malate dehydrogenase,1.1.1.38,Unassigned
MA1747,cobalt ABC transporter ATP-binding protein,3.6.3.-,ecfA1
MA1748,cobalt ABC transporter permease,Unassigned,cbiQ
MA1790,Thiamine biosynthesis protein thiC (thiC),4.1.99.17,thiC
MA1801,,,
MA1802,"Dihydroxyacid dehydratase, EC 4.2.1.9",4.2.1.9,ilvD
MA1804,putative methyltransferase,2.1.1.86,mtxH
MA1805,methyltransferase,2.1.1.86,mtxA
MA1815,,,
MA1817,riboflavin synthase,2.5.1.9,ribC
MA1818,"6,7-dimethyl-8-ribityllumazine synthase (ribH) (EC 2.5.1.9)",2.5.1.78,ribH
MA1819,Aspartate aminotransferase (EC 2.6.1.1),2.6.1.1,aspB
MA1820,glycerol-3-phosphate cytidyltransferase,Unassigned,taqD
MA1824,,,
MA1831,di-trans-poly-cis-decaprenylcistransferase,2.5.1.31,uppS
MA1840,fructokinase,2.7.1.4,Unassigned
MA1847,iron(III) ABC transporter permease,Unassigned,hemU
MA1850,iron(III) ABC transporter substrate-binding protein,Unassigned,ABC.FEV.S
MA1855,,,
MA1874,phosphorylase,2.4.1.1,malP
MA1901,,,
MA1909,hypothetical protein,5.1.3.13,rfbC
MA1919,adenylosuccinate synthetase,6.3.4.4,purA
MA1946,,,
MA1949,glutamate decarboxylase,4.1.1.15,Unassigned
MA1956,Phenylalanyl-tRNA synthetase subunitsbeta (EC 6.1.1.20),6.1.1.20,pheT
MA1958,acetolactate synthase,2.2.1.6,Unassigned
MA1962,,,
MA1963,phosphoribosylformylglycinamidine synthase I (FGAM synthase I) (purQ) (EC 6.3.5.3),6.3.5.3,purL
MA1964,phosphoribosylformylglycinamidine synthetase PurS,6.3.5.3,purL
